,vacancy,link,company,city,salary_min,salary_max,salary_currency
0,Data Analyst / Data Scientist (Marketing),https://hh.ru/vacancy/83697500?from=vacancy_search_list&query=data+scientist,ООО Вераксен Бел,Минск,,,
1,Junior Data Scientist (Стажер),https://hh.ru/vacancy/83678534?from=vacancy_search_list&query=data+scientist,Центр финансовых технологий,Санкт-Петербург,,,
2,Junior Data Scientist (Стажер),https://hh.ru/vacancy/83678532?from=vacancy_search_list&query=data+scientist,Центр финансовых технологий,Кемерово,,,
3,Junior Data Scientist (Стажер),https://hh.ru/vacancy/83678530?from=vacancy_search_list&query=data+scientist,Центр финансовых технологий,Томск,,,
4,Middle Data Scientist,https://hh.ru/vacancy/82977137?from=vacancy_search_list&query=data+scientist,ООО Автомакон,Москва,120000.0,250000.0,₽
5,Data Scientist,https://hh.ru/vacancy/83611254?from=vacancy_search_list&query=data+scientist,Автостэлс,Москва,300000.0,350000.0,₽
6,Junior Data Scientist,https://hh.ru/vacancy/82174408?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,Москва,,,
7,Remote AI Data Scientist,https://hh.ru/vacancy/82280658?from=vacancy_search_list&query=data+scientist,Rearden Media Ltd.,Москва,1700.0,7000.0,€
8,Lead AI Data Scientist,https://hh.ru/vacancy/83296188?from=vacancy_search_list&query=data+scientist,Compound Solutions SL,Алматы,,8000.0,$
9,Data-Scientist,https://hh.ru/vacancy/83293320?from=vacancy_search_list&query=data+scientist,Weborama Russia,Москва,,,
10,Data scientist,https://hh.ru/vacancy/83601369?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Нижний Новгород,,,
11,Data Scientist / Python разработчик,https://hh.ru/vacancy/78771412?from=vacancy_search_list&query=data+scientist,ЗАЗЕКС,Ростов-на-Дону,,,
12,Data Scientist,https://hh.ru/vacancy/83664383?from=vacancy_search_list&query=data+scientist,StudyWorld,"Санкт-Петербург, Спортивная",,150000.0,₽
13,Data scientist (Антифрод),https://hh.ru/vacancy/81771371?from=vacancy_search_list&query=data+scientist,Домклик,Москва,,,
14,Remote AI Data Scientist,https://hh.ru/vacancy/82280686?from=vacancy_search_list&query=data+scientist,Rearden Media Ltd.,Алматы,1700.0,7000.0,€
15,Инженер / Data Scientist,https://hh.ru/vacancy/83732684?from=vacancy_search_list&query=data+scientist,ГБУЗ «Научно-практический клинический центр диагностики и телемедицинских технологий ДЗМ»,Москва,98000.0,98000.0,₽
16,Data Scientist middle+/Senior,https://hh.ru/vacancy/82750408?from=vacancy_search_list&query=data+scientist,ИП Мамаева Ирина Анатольевна,Москва,250000.0,380000.0,₽
17,Data Scientist middle+,https://hh.ru/vacancy/83773526?from=vacancy_search_list&query=data+scientist,Adeptum Digital Production,Смоленск,200000.0,300000.0,₽
18,Программист - Data Scientist,https://hh.ru/vacancy/83744616?from=vacancy_search_list&query=data+scientist,ООО АКСАЛИТ Софт,Екатеринбург,70000.0,120000.0,₽
19,Data инженер,https://hh.ru/vacancy/83746382?from=vacancy_search_list&query=data+scientist,TQB Russia,Москва,,350000.0,₽
20,Lead Data Scientist в R&D-команду логистики Маркета,https://hh.ru/vacancy/83441997?from=vacancy_search_list&query=data+scientist,Яндекс,Москва,400000.0,650000.0,₽
21,Data scientist (кредитный скоринг),https://hh.ru/vacancy/83104723?from=vacancy_search_list&query=data+scientist,"билайн: ИТ, Data, Digital",Москва,,,
22,Data scientist,https://hh.ru/vacancy/82468156?from=vacancy_search_list&query=data+scientist,Микрокредитная Компания Кредито24,Москва,,,
23,Data Scientist,https://hh.ru/vacancy/81464653?from=vacancy_search_list&query=data+scientist,Яндекс,Москва,,,
24,Lead Data Scientist в R&D-команду логистики Маркета,https://hh.ru/vacancy/83442000?from=vacancy_search_list&query=data+scientist,Яндекс,Санкт-Петербург,400000.0,650000.0,₽
25,Data Scientist,https://hh.ru/vacancy/83617550?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ИТ,Санкт-Петербург,,,
26,Data Scientist,https://hh.ru/vacancy/79811721?from=vacancy_search_list&query=data+scientist,ПАО Детский Мир,"Москва, Окружная и еще 2 ",,,
27,Data Scientist,https://hh.ru/vacancy/79404780?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
28,Data Scientist,https://hh.ru/vacancy/83435724?from=vacancy_search_list&query=data+scientist,Spice Agency,Москва,,320000.0,₽
29,Lead Data Scientist в R&D-команду логистики Маркета,https://hh.ru/vacancy/83442004?from=vacancy_search_list&query=data+scientist,Яндекс,Алматы,400000.0,650000.0,₽
30,Data Scientist (Sber Campaigning),https://hh.ru/vacancy/81263444?from=vacancy_search_list&query=data+scientist,Сбер. IT,"Москва, Кутузовская",,,
31,Data Scientist,https://hh.ru/vacancy/82540806?from=vacancy_search_list&query=data+scientist,Ниармедик Ваш Доктор Рядом,Москва,,,
32,Data scientist,https://hh.ru/vacancy/78007068?from=vacancy_search_list&query=data+scientist,LC Group,"Новосибирск, Октябрьская",,,
33,Data Scientist/ML (команда System Team),https://hh.ru/vacancy/80805489?from=vacancy_search_list&query=data+scientist,"ВСК, САО",Москва,,,
34,Разработчик в области машинного обучения и больших данных (Data Scientist),https://hh.ru/vacancy/82402348?from=vacancy_search_list&query=data+scientist,Ульянова Надежда Михайловна,Москва,,,
35,Data Scientist (Реклама и Медиа),https://hh.ru/vacancy/83455292?from=vacancy_search_list&query=data+scientist,"VK, Рекламные технологии",Москва,,,
36,Data scientist,https://hh.ru/vacancy/83440171?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,Южно-Сахалинск,,,
37,Middle Data Scientist (СV) / Computer Vision Engineer,https://hh.ru/vacancy/82918783?from=vacancy_search_list&query=data+scientist,MillionAgents,Москва,,,
38,Data scientist,https://hh.ru/vacancy/83594280?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
39,Data Scientist R&D,https://hh.ru/vacancy/81854583?from=vacancy_search_list&query=data+scientist,Rubbles,Москва,150000.0,300000.0,₽
40,Data Scientist,https://hh.ru/vacancy/79304757?from=vacancy_search_list&query=data+scientist,INSITECH Development,Москва,,,
41,Data Analyst (Data Scientist),https://hh.ru/vacancy/83220968?from=vacancy_search_list&query=data+scientist,Белитсофт интернешнл,"Минск, Тракторный завод",,,
42,Senior Data Scientist (CV),https://hh.ru/vacancy/80818426?from=vacancy_search_list&query=data+scientist,WILDBERRIES,"Москва, Парк культуры и еще 2 ",,,
43,Lead Data Scientist,https://hh.ru/vacancy/81326729?from=vacancy_search_list&query=data+scientist,INSITECH Development,Москва,,,
44,Data Scientist Junior/Junior computer vision engineer,https://hh.ru/vacancy/83041801?from=vacancy_search_list&query=data+scientist,Comexp,Нижний Новгород,50000.0,100000.0,₽
45,Data scientist (СберБизнесБот),https://hh.ru/vacancy/83454163?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
46,Lead Data Scientist,https://hh.ru/vacancy/81326731?from=vacancy_search_list&query=data+scientist,INSITECH Development,Кипр,,,
47,Data Scientist (главный исследователь данных Управления развития клиентской базы),https://hh.ru/vacancy/82172175?from=vacancy_search_list&query=data+scientist,"ВСК, САО",Москва,,,
48,Senior Data Scientist,https://hh.ru/vacancy/82633532?from=vacancy_search_list&query=data+scientist,ООО ДСЛАБ,"Москва, Новокузнецкая",,,
49,"Ведущий Data Scientist (NLP), Базовое ранжирование",https://hh.ru/vacancy/80408226?from=vacancy_search_list&query=data+scientist,Ozon Информационные технологии,"Москва, Деловой центр и еще 2 ",,,
50,Data Scientist,https://hh.ru/vacancy/83436498?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
51,Junior Data scientist (Аналитик),https://hh.ru/vacancy/81862798?from=vacancy_search_list&query=data+scientist,ООО Займиго МФК,"Нижний Новгород, Горьковская",60000.0,,₽
52,Data Scientist (Единая контактная политика с клиентами банка),https://hh.ru/vacancy/83451553?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
53,Middle Data scientist (Промо Прогноз),https://hh.ru/vacancy/78128781?from=vacancy_search_list&query=data+scientist,"МАГНИТ, Розничная сеть",Краснодар,,,
54,Data Scientist в SberData,https://hh.ru/vacancy/83448921?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
55,Data Scientist,https://hh.ru/vacancy/83272352?from=vacancy_search_list&query=data+scientist,Pravo.Tech,Москва,,,
56,Data Scientist (офис г. Таганрог),https://hh.ru/vacancy/78928573?from=vacancy_search_list&query=data+scientist,Pudov,Таганрог,,,
57,Data Scientist NLP,https://hh.ru/vacancy/83351440?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
58,Middle Data scientist,https://hh.ru/vacancy/82975766?from=vacancy_search_list&query=data+scientist,АО Страховая компания Freedom Finance Insurance,Алматы,,700000.0,₸
59,Data Scientist (команда Поиска),https://hh.ru/vacancy/83116089?from=vacancy_search_list&query=data+scientist,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская",350000.0,,₽
60,"Data Scientist (GPT,Т5,ВERT)",https://hh.ru/vacancy/82242843?from=vacancy_search_list&query=data+scientist,"Юнити,ООО",Санкт-Петербург,,,
61,Data Scientist (Middle),https://hh.ru/vacancy/81543934?from=vacancy_search_list&query=data+scientist,ООО Строительный Двор,"Москва, Улица 1905 года",,,
62,Data Scientist senior,https://hh.ru/vacancy/83358230?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
63,Head Data Scientist,https://hh.ru/vacancy/82903246?from=vacancy_search_list&query=data+scientist,ООО Сеть Партнерств,Москва,350000.0,,₽
64,Data Scientist в R&D-команду SupportAI,https://hh.ru/vacancy/83084971?from=vacancy_search_list&query=data+scientist,Яндекс,Москва,,,
65,Data Scientist,https://hh.ru/vacancy/83102957?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ИТ,Санкт-Петербург,,,
66,Data Scientist,https://hh.ru/vacancy/82993212?from=vacancy_search_list&query=data+scientist,Carcade Leasing,Москва,,,
67,Data Scientist,https://hh.ru/vacancy/82412025?from=vacancy_search_list&query=data+scientist,getmatch,Санкт-Петербург,,450000.0,₽
68,Middle Data Scientist,https://hh.ru/vacancy/83354591?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
69,Chief Data Scientist,https://hh.ru/vacancy/83298175?from=vacancy_search_list&query=data+scientist,Самокат (ООО Умное пространство),Москва,,,
70,Middle+/Senior Data Scientist в Блок Финансы,https://hh.ru/vacancy/83356757?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
71,Data Scientist (Прогнозирование),https://hh.ru/vacancy/81118017?from=vacancy_search_list&query=data+scientist,"Компания «СПОРТМАСТЕР», Sportmaster Lab",Москва,,,
72,Data Scientist (Python),https://hh.ru/vacancy/82644423?from=vacancy_search_list&query=data+scientist,ООО РДП.РУ,Москва,,,
73,Data Scientist,https://hh.ru/vacancy/82421287?from=vacancy_search_list&query=data+scientist,TWINO,"Москва, Павелецкая",,,
74,Data Scientist,https://hh.ru/vacancy/82682774?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
75,Data Analyst / Data Scientist (Junior/Junior+),https://hh.ru/vacancy/82331777?from=vacancy_search_list&query=data+scientist,Kept (Кэпт),Москва,,,
76,Senior data scientist,https://hh.ru/vacancy/82307525?from=vacancy_search_list&query=data+scientist,ФГБУ Национальный Медицинский Исследовательский Центр Онкологии Имени Н.Н. Петрова Министерства Здравоохранения Российской Федерации,Санкт-Петербург,300000.0,,₽
77,Data scientist (Ценообразование),https://hh.ru/vacancy/76974214?from=vacancy_search_list&query=data+scientist,"Компания «СПОРТМАСТЕР», Sportmaster Lab","Москва, Аэропорт",,,
78,Middle Data Scientist,https://hh.ru/vacancy/83181947?from=vacancy_search_list&query=data+scientist,ЗАО Группа компаний С7,"Москва, Кузнецкий мост и еще 2 ",,,
79,Data Scientist,https://hh.ru/vacancy/82918125?from=vacancy_search_list&query=data+scientist,Cloud.ru,"Москва, Улица 1905 года",,,
80,Data scientist,https://hh.ru/vacancy/82675818?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ,Санкт-Петербург,,,
81,Middle Data Scientist (Маркетплейс),https://hh.ru/vacancy/81522843?from=vacancy_search_list&query=data+scientist,Самокат (ООО Умное пространство),Москва,,,
82,Data Scientist в рекомендательные системы,https://hh.ru/vacancy/82747210?from=vacancy_search_list&query=data+scientist,Сбер. IT,Нижний Новгород,,,
83,Middle/Senior Data Scientist (Эмбеддинги),https://hh.ru/vacancy/81524138?from=vacancy_search_list&query=data+scientist,"Иннотех, Группа компаний",Москва,,,
84,Data Scientist,https://hh.ru/vacancy/82841754?from=vacancy_search_list&query=data+scientist,"Inventive Retail Group, Офис","Москва, Шелепиха и еще 1 ",,,
85,Инженер AI&ML (Data Scientist),https://hh.ru/vacancy/82179681?from=vacancy_search_list&query=data+scientist,ООО СЕУСЛАБ,Пермь,,,
86,Data Scientist (Почта),https://hh.ru/vacancy/82676378?from=vacancy_search_list&query=data+scientist,"VK, Почтовые сервисы","Москва, Аэропорт",,,
87,Senior Data Scientist (ChatGPT/Operations),https://hh.ru/vacancy/83165316?from=vacancy_search_list&query=data+scientist,Ostrovok.ru,"Москва, Спортивная",,,
88,Data scientist (Центр валидации моделей розничного бизнеса),https://hh.ru/vacancy/82917785?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",,,
89,Senior Data Scientist,https://hh.ru/vacancy/80800495?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ИТ,Санкт-Петербург,,,
90,Senior Data Scientist,https://hh.ru/vacancy/83076435?from=vacancy_search_list&query=data+scientist,ПАО БАНК УРАЛСИБ,Москва,,,
91,Data Scientist,https://hh.ru/vacancy/79729655?from=vacancy_search_list&query=data+scientist,СБЕР (ООО еАптека),Москва,,,
92,Lead Data Scientist NLP,https://hh.ru/vacancy/83155962?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
93,Аналитик данных / Data Scientist (middle+),https://hh.ru/vacancy/81311165?from=vacancy_search_list&query=data+scientist,Сибур,"Москва, Профсоюзная",,,
94,Data scientist,https://hh.ru/vacancy/81245944?from=vacancy_search_list&query=data+scientist,"«Почта России», Офис",Москва,,,
95,Data Scientist в Блок Риски,https://hh.ru/vacancy/82433862?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
96,Senior Data Scientist (ML разработчик),https://hh.ru/vacancy/82936981?from=vacancy_search_list&query=data+scientist,Группа НЛМК ИТ и Диджитал,Москва,,,
97,Data Scientist в отдел валидации,https://hh.ru/vacancy/82674133?from=vacancy_search_list&query=data+scientist,«РОСБАНК»,Москва,,,
98,Data Scientist (HR-модели),https://hh.ru/vacancy/82347150?from=vacancy_search_list&query=data+scientist,Газпромбанк,Москва,,,
99,Senior Data Scientist,https://hh.ru/vacancy/82213529?from=vacancy_search_list&query=data+scientist,Сбер. IT,"Москва, Кутузовская",,,
100,Senior Data Scientist в команду SME Chat,https://hh.ru/vacancy/81312951?from=vacancy_search_list&query=data+scientist,Райффайзен Банк,"Москва, Технопарк",,,
101,Senior Data Scientist / Математик,https://hh.ru/vacancy/77799312?from=vacancy_search_list&query=data+scientist,Циан,Москва,,,
102,Data Scientist (Computer Vision),https://hh.ru/vacancy/82567209?from=vacancy_search_list&query=data+scientist,ООО БиАйЭй-Технолоджиз,"Санкт-Петербург, Фрунзенская",,,
103,Data Scientist (риски),https://hh.ru/vacancy/82232163?from=vacancy_search_list&query=data+scientist,ООО Бюро кредитных историй Скоринг Бюро,Москва,,,
104,Data Scientist (Middle\Senior),https://hh.ru/vacancy/82660178?from=vacancy_search_list&query=data+scientist,Газпромбанк,Москва,,,
105,Senior Data Scientist,https://hh.ru/vacancy/82701142?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,Москва,,,
106,"Старший Data Scientist, Маркетплейс, Сервисы обработки текстов",https://hh.ru/vacancy/82550578?from=vacancy_search_list&query=data+scientist,Ozon Информационные технологии,"Москва, Выставочная и еще 2 ",,,
