,vacancy,link,company,city,salary_min,salary_max,salary_currency
107,Lead/Senior Data Scientist,https://hh.ru/vacancy/81350907?from=vacancy_search_list&query=data+scientist,ООО Axenix (ранее Accenture),"Москва, Павелецкая",,,
108,Data Scientist (Команда Addy),https://hh.ru/vacancy/82463500?from=vacancy_search_list&query=data+scientist,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская",,,
109,Data Scientist (myTracker),https://hh.ru/vacancy/82262249?from=vacancy_search_list&query=data+scientist,VK,Москва,,,
110,Senior Data Scientist,https://hh.ru/vacancy/80493882?from=vacancy_search_list&query=data+scientist,ООО Страховая компания Сбербанк страхование,"Москва, Проспект Мира",,,
111,Senior Data Scientist (RnD),https://hh.ru/vacancy/82562076?from=vacancy_search_list&query=data+scientist,Ostrovok.ru,"Москва, Спортивная",,,
112,Senior Data Scientist,https://hh.ru/vacancy/82432479?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
113,Senior data scientist,https://hh.ru/vacancy/81399909?from=vacancy_search_list&query=data+scientist,"ПАО МегаФон, IT","Москва, Маяковская и еще 2 ",,,
114,Data Scientist middle+/senior (Транскодинг),https://hh.ru/vacancy/80975800?from=vacancy_search_list&query=data+scientist,Okko,"Москва, Баррикадная и еще 2 ",,,
115,Senior Data Scientist,https://hh.ru/vacancy/82245032?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
116,Senior NLP Data Scientist/Developer,https://hh.ru/vacancy/82449088?from=vacancy_search_list&query=data+scientist,Техниксофт,Минск,,,
117,Data Analyst,https://hh.ru/vacancy/81971249?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
118,Data Scientist (ChatGPT и Copilot) MTS AI,https://hh.ru/vacancy/82205395?from=vacancy_search_list&query=data+scientist,ПАО «МТС» ,Москва,,,
119,Data scientist (Middle),https://hh.ru/vacancy/83526402?from=vacancy_search_list&query=data+scientist,"ПАО МегаФон, Инженерные","Москва, Маяковская и еще 2 ",,,
120,Python Team Lead,https://hh.ru/vacancy/83643644?from=vacancy_search_list&query=data+scientist,"Иннотех, Группа компаний",Москва,,,
121,Исследователь/Research Scientist (Computer Science),https://hh.ru/vacancy/76662887?from=vacancy_search_list&query=data+scientist,Криптонит,"Москва, Павелецкая и еще 1 ",,,
122,Младший научный сотрудник (Junior Data Scientist),https://hh.ru/vacancy/78853190?from=vacancy_search_list&query=data+scientist,ЦРТ | Группа компаний,"Санкт-Петербург, Выборгская и еще 2 ",,,
123,Senior Python Developer,https://hh.ru/vacancy/80803272?from=vacancy_search_list&query=data+scientist,ANABAR,Москва,350000.0,,₽
124,ML-инженер,https://hh.ru/vacancy/83699694?from=vacancy_search_list&query=data+scientist,Т1 Консалтинг,Москва,,,
125,Head of Risk (Asia),https://hh.ru/vacancy/83138143?from=vacancy_search_list&query=data+scientist,Eqvanta,Москва,,,
126,Data Engineer (Middle),https://hh.ru/vacancy/83411747?from=vacancy_search_list&query=data+scientist,Rubbles,Москва,,300000.0,₽
127,Research Engineer,https://hh.ru/vacancy/83573570?from=vacancy_search_list&query=data+scientist,Пану Ольга Германовна,Тбилиси,3500.0,,$
128,Старший ML-инженер (Кредитный скоринг),https://hh.ru/vacancy/82192275?from=vacancy_search_list&query=data+scientist,ООО Займиго МФК,"Москва, Курская и еще 1 ",,,
129,Data Engineer направления разработки витрин данных,https://hh.ru/vacancy/78843112?from=vacancy_search_list&query=data+scientist,"Иннотех, Группа компаний",Москва,,,
130,Проджект-менеджер / Системный-аналитик в ИТ-продукт,https://hh.ru/vacancy/82157453?from=vacancy_search_list&query=data+scientist,ООО БСТ Менеджмент-Консалтинг,Москва,40000.0,,₽
131,Портфельный риск-аналитик / Middle Data Scientist (модели кредитного риска),https://hh.ru/vacancy/82421077?from=vacancy_search_list&query=data+scientist,ООО Элемент Лизинг,"Москва, Кутузовская и еще 1 ",,,
132,Младший аналитик,https://hh.ru/vacancy/83447696?from=vacancy_search_list&query=data+scientist,ООО Программная Палата,Санкт-Петербург,60000.0,80000.0,₽
133,TechLead Research Engineer (NLP/Speech),https://hh.ru/vacancy/81198058?from=vacancy_search_list&query=data+scientist,Контур,Москва,300000.0,400000.0,₽
134,TechLead Research Engineer (NLP/Speech),https://hh.ru/vacancy/81198045?from=vacancy_search_list&query=data+scientist,Контур,Санкт-Петербург,300000.0,400000.0,₽
135,Системный аналитик Big Data,https://hh.ru/vacancy/78941888?from=vacancy_search_list&query=data+scientist,Сбер. IT,"Самара, Алабинская",,,
136,"Аналитик данных (Управление ""Клиент 360"")",https://hh.ru/vacancy/83540759?from=vacancy_search_list&query=data+scientist,"ПАО ВТБ, Розничный бизнес","Москва, Деловой центр и еще 2 ",,,
137,TechLead Research Engineer (NLP/Speech),https://hh.ru/vacancy/81198070?from=vacancy_search_list&query=data+scientist,Контур,Иннополис,300000.0,400000.0,₽
138,Junior Data scientist,https://hh.ru/vacancy/83530434?from=vacancy_search_list&query=data+scientist,Газпромбанк,Москва,,,
139,Бизнес-аналитик,https://hh.ru/vacancy/83636122?from=vacancy_search_list&query=data+scientist,Selecty,Санкт-Петербург,,,
140,Ведущий исследователь данных,https://hh.ru/vacancy/83434175?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Нижний Новгород,88450.0,,₽
141,Научный сотрудник,https://hh.ru/vacancy/83445484?from=vacancy_search_list&query=data+scientist,"Государственный научно-исследовательский институт прикладных проблем, ФГУП",Санкт-Петербург,70000.0,120000.0,₽
142,Client Consultant (FMCG sector),https://hh.ru/vacancy/79421796?from=vacancy_search_list&query=data+scientist,NielsenIQ,Москва,,,
143,Senior Machine Learning Engineer,https://hh.ru/vacancy/83385149?from=vacancy_search_list&query=data+scientist,Ventra IT Solutions,Москва,4500.0,,€
144,Data-аналитик,https://hh.ru/vacancy/81843695?from=vacancy_search_list&query=data+scientist,НИИ Восход,"Москва, Мичуринский проспект и еще 3 ",,,
145,Аналитик данных/Специалист по машинному обучению (Junior),https://hh.ru/vacancy/83401869?from=vacancy_search_list&query=data+scientist,"Альтера, интернет-агентство","Санкт-Петербург, Василеостровская",50000.0,,₽
146,Data Scientist Управления модельных рисков и валидации,https://hh.ru/vacancy/83376381?from=vacancy_search_list&query=data+scientist,"ПАО ВТБ, Технологический блок",Самара,,,
147,Аналитик данных отдела исследований клиентского опыта,https://hh.ru/vacancy/78181417?from=vacancy_search_list&query=data+scientist,"ПАО ВТБ, Подразделения Поддержки и Контроля","Москва, Выставочная и еще 2 ",,,
148,Middle Data Scientist / Аналитик данных,https://hh.ru/vacancy/83367484?from=vacancy_search_list&query=data+scientist,АО Технологии ОФС,Новосибирск,,,
149,Digital Manager,https://hh.ru/vacancy/83431115?from=vacancy_search_list&query=data+scientist,Abbott Laboratories,"Москва, Войковская",,,
150,Data Engineer в команду Operational DWH,https://hh.ru/vacancy/83387955?from=vacancy_search_list&query=data+scientist,Райффайзен Банк,Москва,,,
151,Старший аналитик данных в CRM (Отдел анализа эффективности некредитного направления),https://hh.ru/vacancy/79265227?from=vacancy_search_list&query=data+scientist,"ПАО ВТБ, Розничный бизнес",Москва,,,
152,Аналитик данных / Data Scientist,https://hh.ru/vacancy/83353677?from=vacancy_search_list&query=data+scientist,СПб ГКУ Центр Архивных Документов,"Санкт-Петербург, Лиговский проспект",65000.0,70000.0,₽
153,Lead Data Scientist (Operations),https://hh.ru/vacancy/81954360?from=vacancy_search_list&query=data+scientist,СберМаркет,Москва,,,
154,Senior Data Scientist (Северсталь Диджитал),https://hh.ru/vacancy/81883278?from=vacancy_search_list&query=data+scientist,Северсталь. IT & Digital,Москва,,,
155,Middle Data Scientist / Аналитик данных,https://hh.ru/vacancy/83353409?from=vacancy_search_list&query=data+scientist,АО Технологии ОФС,Тюмень,,,
156,"Machine Learning Engineer / Data Scientist (Python, Middle)",https://hh.ru/vacancy/83346890?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ,Москва,,,
157,Дата-сайентист Middle+/Senior Data Scientist,https://hh.ru/vacancy/83340376?from=vacancy_search_list&query=data+scientist,ООО ГАОДИ РУС,"Москва, Авиамоторная и еще 1 ",200000.0,,₽
158,"Автор курса ""Линейная алгебра""",https://hh.ru/vacancy/83360933?from=vacancy_search_list&query=data+scientist,GeekBrains,Москва,,,
159,Data Engineer направления разработки витрин данных,https://hh.ru/vacancy/83323285?from=vacancy_search_list&query=data+scientist,"Иннотех, Группа компаний",Санкт-Петербург,,,
160,Senior Android Developer,https://hh.ru/vacancy/83221770?from=vacancy_search_list&query=data+scientist,Белитсофт интернешнл,"Минск, Тракторный завод",,,
161,Senior Data Scientist в направление продвинутой аналитики домена Operations,https://hh.ru/vacancy/83138128?from=vacancy_search_list&query=data+scientist,Райффайзен Банк,Москва,,,
162,Data Engineer,https://hh.ru/vacancy/83140463?from=vacancy_search_list&query=data+scientist,Газпромбанк,"Москва, Добрынинская",,,
163,Senior Python developer (MLOps),https://hh.ru/vacancy/83148895?from=vacancy_search_list&query=data+scientist,ТОО Wisebits,Батуми,4000.0,,€
164,Senior Python developer (MLOps),https://hh.ru/vacancy/83148896?from=vacancy_search_list&query=data+scientist,ТОО Wisebits,Кипр,4000.0,,€
165,Senior Data Scientist (разработка Скоринговых моделей),https://hh.ru/vacancy/73751357?from=vacancy_search_list&query=data+scientist,"ПАО ВТБ, Технологический блок",Москва,,,
166,Senior Data Scientist/ML Engineer (команда SmartSearch),https://hh.ru/vacancy/67924416?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
167,Senior Data scientist (RnD в Центр валидации моделей КИБ),https://hh.ru/vacancy/83069369?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",,,
168,ML Engineer (to Cyprus),https://hh.ru/vacancy/81610973?from=vacancy_search_list&query=data+scientist,Space307,"Санкт-Петербург, Горьковская и еще 1 ",,,
169,Data Scientist (Corporate Credit Risk),https://hh.ru/vacancy/83087392?from=vacancy_search_list&query=data+scientist,Райффайзен Банк,Москва,,,
170,Ведущий эксперт по интеллектуальному анализу данных,https://hh.ru/vacancy/81843886?from=vacancy_search_list&query=data+scientist, Альфа-Банк,"Москва, Технопарк",,,
171,Middle MLOps Engineer (Python Developer),https://hh.ru/vacancy/83110431?from=vacancy_search_list&query=data+scientist,Неофлекс,Москва,,,
172,Data scientist в центр искусственного интеллекта,https://hh.ru/vacancy/83001338?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,Южно-Сахалинск,,,
173,Data Scientist (модели кредитного риска),https://hh.ru/vacancy/79466929?from=vacancy_search_list&query=data+scientist,ПАО БАНК УРАЛСИБ,Москва,,,
174,EData Delivery Analyst,https://hh.ru/vacancy/83011653?from=vacancy_search_list&query=data+scientist,NielsenIQ,Москва,,,
175,Инженер-программист Data Scientist (Computer Vision),https://hh.ru/vacancy/81509039?from=vacancy_search_list&query=data+scientist,Радиоавионика,"Санкт-Петербург, Технологический институт 1",120000.0,150000.0,₽
176,Senior QA Engineer (manual),https://hh.ru/vacancy/81616440?from=vacancy_search_list&query=data+scientist,Ингосстрах,Москва,,,
177,ModelOps specialist,https://hh.ru/vacancy/81564805?from=vacancy_search_list&query=data+scientist,ООО GlowByte,Москва,,,
178,Middle Data Scientist (Дивизион развития цифрового профиля клиента),https://hh.ru/vacancy/82988759?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
179,Senior Data Scientist (Дивизион развития цифрового профиля клиента),https://hh.ru/vacancy/82988515?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
180,Senior Data Science,https://hh.ru/vacancy/82408942?from=vacancy_search_list&query=data+scientist,"АО Первая Грузовая Компания, IT/Digital","Москва, Бауманская и еще 2 ",,,
181,C++ developer,https://hh.ru/vacancy/82633675?from=vacancy_search_list&query=data+scientist,think-cell Software GmbH,Германия,7500.0,10834.0,€
182,Руководитель направления машинного обучения/Machine learning senior engineer,https://hh.ru/vacancy/82420735?from=vacancy_search_list&query=data+scientist,ООО Элемент Лизинг,"Москва, Кутузовская и еще 1 ",,,
183,Junior Programmatic Media Trader,https://hh.ru/vacancy/80438543?from=vacancy_search_list&query=data+scientist,DELVE,Минск,,,
184,Data Engineer,https://hh.ru/vacancy/82341755?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Сербия,,,
185,Data Engineer,https://hh.ru/vacancy/82341756?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Израиль,,,
186,Data Engineer,https://hh.ru/vacancy/82341758?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Турция,,,
187,Computer Vision engineer,https://hh.ru/vacancy/79785391?from=vacancy_search_list&query=data+scientist,red_mad_robot,Москва,,,
188,Data Engineer,https://hh.ru/vacancy/82341547?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Сербия,,,
189,Data Engineer,https://hh.ru/vacancy/82341548?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Израиль,,,
190,Data Engineer,https://hh.ru/vacancy/82341550?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Турция,,,
191,Руководитель направления в Центр резервирования и планирования (Data Scientist),https://hh.ru/vacancy/82353326?from=vacancy_search_list&query=data+scientist,ANCOR,Москва,,,
192,Junior data scientist (Центр валидации моделей сервисных блоков и экосистемы),https://hh.ru/vacancy/82274797?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",,,
193,Стажер Data scientist (Управление рисками корпоративных клиентов),https://hh.ru/vacancy/82239198?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,"Санкт-Петербург, Нарвская",,,
194,"Data scientist, проекты по разработке симуляционных моделей, моделей оценки стресс-тестирования",https://hh.ru/vacancy/79906988?from=vacancy_search_list&query=data+scientist,"ПАО ВТБ, Технологический блок","Москва, Выставочная и еще 2 ",,,
195,Менеджер по работе с данными (CDO),https://hh.ru/vacancy/69022955?from=vacancy_search_list&query=data+scientist,АО Группа компаний Современные транспортные технологии,Нижний Новгород,,,
196,Team Lead Data Science,https://hh.ru/vacancy/82259060?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
197,Senior Machine Learning Engineer (Ташкент),https://hh.ru/vacancy/82269355?from=vacancy_search_list&query=data+scientist,ООО «UZUM TECHNOLOGIES».,Москва,,,
198,Senior data scientist (разработка моделей для казначейства и рыночных рисков),https://hh.ru/vacancy/72127423?from=vacancy_search_list&query=data+scientist,"ПАО ВТБ, Технологический блок","Москва, Выставочная",,,
199,"Senior Data Scientist (""Платформа экспериментов"")",https://hh.ru/vacancy/78786488?from=vacancy_search_list&query=data+scientist,Okko,"Санкт-Петербург, Беговая",,,
200,Lead Data Scientist в R&D-команду логистики Маркета,https://hh.ru/vacancy/83441998?from=vacancy_search_list&query=data+scientist,Яндекс,Екатеринбург,400000.0,650000.0,₽
201,Data Engineer,https://hh.ru/vacancy/82341757?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Литва,,,
202,Data Engineer,https://hh.ru/vacancy/80966670?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Тбилиси,,,
203,Data Engineer,https://hh.ru/vacancy/82341754?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Армения,,,
204,Data Engineer,https://hh.ru/vacancy/82341759?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Черногория,,,
205,Data Engineer,https://hh.ru/vacancy/82341753?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Баку,,,
206,Data Engineer,https://hh.ru/vacancy/82341549?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Литва,,,
207,Data Engineer,https://hh.ru/vacancy/82341546?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Армения,,,
208,Data Engineer,https://hh.ru/vacancy/82341551?from=vacancy_search_list&query=data+scientist,"Nitka Technologies, Inc.",Черногория,,,
